payee,categoryGroup,category
Check Card: PrimeNowTips Amzn.com/bill WA  09/07/18Card 16 #6717,General Expenses,Groceries
Check Card: CMSVEND*CV AUSTIN AUSTIN TX  09/07/18Card 16 #6717,Entertainment,Dining Out
Check Card: UT H&F FOOD SERVICE AUSTIN TX  09/08/18Card 16 #6717,Entertainment,Dining Out
Check Card: CAPITAL METROPOLITAN T 512-369-6244 TX  09/09/18Card 16 #6717,Immediate Obligations,Transportation
Check Card: HYATT REGENCY AUSTIN F& AUSTIN TX  09/08/18Card 16 #6717,Entertainment,Dining Out
Check Card: Prime Now Amzn.com/bill WA  09/10/18Card 16 #6717,General Expenses,Groceries
Check Card: CROWN AND ANCHOR AUSTIN TX  09/09/18Card 16 #6717,Entertainment,Dining Out
Check Card: SQ *O'S CAMPUS CAFE AND Austin TX  09/11/18Card 16 #6717,Entertainment,Dining Out
HEB #425 1000 EAST 41 ST. AUSTIN TX Card 16 #6717,General Expenses,Groceries
Check Card: PrimeNowTips Amzn.com/bill WA  09/11/18Card 16 #6717,General Expenses,Groceries
Check Card: THE BACK LOT AUSTIN TX  09/11/18Card 16 #6717,Entertainment,Dining Out
Check Card: SQ *O'S CAMPUS CAFE AND Austin TX  09/12/18Card 16 #6717,Entertainment,Dining Out
"Check Card: LYCAMOBILE, USA 973-2860771 NJ  09/13/18Card 16 #6717",Immediate Obligations,Mobile
Check Card: Prime Now Amzn.com/bill WA  09/14/18Card 16 #6717,General Expenses,Groceries
Check Card: UT H&F FOOD SERVICE AUSTIN TX  09/14/18Card 16 #6717,Entertainment,Dining Out
Check Card: THE BACK LOT AUSTIN TX  09/15/18Card 16 #6717,Entertainment,Dining Out
Check Card: PrimeNowTips Amzn.com/bill WA  09/15/18Card 16 #6717,General Expenses,Groceries
Check Card: CAPITAL METROPOLITAN T 512-369-6244 TX  09/16/18Card 16 #6717,Immediate Obligations,Transportation
Check Card: THE BACK LOT AUSTIN TX  09/16/18Card 16 #6717,Entertainment,Dining Out
Check Card: BANGERS SAUSAGE HOUSE & AUSTIN TX  09/15/18Card 16 #6717,Entertainment,Dining Out
